sequence_id,sensor_seed,window_start,window_end,overlapping,process_trial_count,axis_drift_rate_median,ODI_trans_median,lambda_min_trans_normalized_median
ST-L3-G02,11,10,20,False,5,0.003707974967185856,0.5141145572778193,1.357194795325533
ST-L3-G02,11,20,30,False,5,0.0003023207199828255,0.5156254090145309,1.4200245428031115
ST-L3-G02,11,30,40,False,5,0.0030240662398283665,0.5217622142542072,1.0567202200185841
ST-L3-G02,11,40,50,False,5,0.0019043738765592432,0.5192438277910914,0.87268256557901
ST-L3-G02,11,50,59,False,5,0.004615613267111494,0.5257617949285824,0.9938625226450211
ST-L3-G02,22,0,10,False,5,0.000914866586614727,0.5435985777403625,1.0345625083732484
ST-L3-G02,22,10,20,False,5,0.002108478870295115,0.5160895120770266,1.4475977085114133
ST-L3-G02,22,20,30,False,5,0.004698391446400328,0.5087792751087352,1.4271791224990575
ST-L3-G02,22,30,40,False,5,0.003843037176448877,0.5189611750097874,1.081891591720232
ST-L3-G02,22,40,50,False,5,0.0007471972399579319,0.513741725877123,0.8468185913366987
ST-L3-G02,22,50,59,False,5,0.003053482066960778,0.5247139511431349,0.9656168727140981
ST-L3-G03,11,0,10,False,5,0.004389349053084563,0.5478624911937171,1.024429059893772
ST-L3-G03,11,10,20,False,5,0.0033052622071293686,0.5142820646129124,1.5187147805113426
ST-L3-G03,11,20,30,False,5,0.0014193018365860868,0.5111242658576767,1.4420419467554622
ST-L3-G03,11,30,40,False,5,0.0030256328864953098,0.5278441211180795,0.9624500840393008
ST-L3-G03,11,40,50,False,5,0.0009070207666150981,0.5131934007932083,1.6324527585338848
ST-L3-G03,11,50,59,False,5,0.0023109270780001597,0.5272222192711943,0.9801582365222434
ST-L3-G03,22,0,10,False,5,0.0005281994666367973,0.5424795464179378,1.041415123919712
ST-L3-G03,22,10,20,False,5,0.003479199910487068,0.514609226125062,1.6222805693176372
ST-L3-G03,22,20,30,False,5,0.00448664693641207,0.508892823477918,1.4126909212261507
ST-L3-G03,22,30,40,False,5,0.003646743586459536,0.5221144049829998,0.9417855123440451
ST-L3-G03,22,40,50,False,5,0.001927337463224858,0.5073819821616624,1.4968634972170756
ST-L3-G03,22,50,59,False,5,0.003843303048518176,0.5241579654467563,0.9542282436458476
ST-L4-G01,11,0,10,False,5,0.0061881396763159595,0.5431992878520924,0.25938795515027585
ST-L4-G01,11,10,20,False,5,0.004401222213949306,0.5278286543746948,0.20591063645681834
ST-L4-G01,11,20,30,False,5,3.337688999811174e-05,0.5307025864425208,0.22651426390829424
ST-L4-G01,11,30,40,False,5,0.0006532041432964524,0.5277625272624398,0.2818074109858154
ST-L4-G01,11,40,50,False,5,0.012874510555936832,0.5265181107536637,0.3105630477777807
