sequence_id,scene_family,trial_id,window_id,axis_drift_rate,weak_drift_alignment,ODI_median,AIS_median,lambda_min_clamped_median,condition_number_median,weak_alignment_median,path_length,risk_ODI,risk_low_AIS,risk_low_lambda,risk_high_condition,risk_weak_alignment,risk_low_motion,joint_risk_equal,joint_risk_spectral,joint_risk_information,joint_risk_odi_information,joint_risk_no_odi,joint_risk_motion_aware,applied_axis_bias,is_unbiased_protocol
RT-L4-S01-M1,RT,8,6,0.00481586177381,0.997270574908,0.728454264597,7.00611173536,0,2891499.86712,1,10.27027027,0.453474847339,0.878016865368,0.662838034312,0.340069787729,0.5,0.177231753417,0.583599883687,0.485460889794,0.626974895803,0.66477658234,0.514539110206,0.502326257633,0,true
RT-L4-S01-M1,RT,8,7,0.00271628888691,0.970186351308,0.728454264597,7.00611173536,0,2891499.86712,1,10.27027027,0.453474847339,0.878016865368,0.662838034312,0.340069787729,0.5,0.177231753417,0.583599883687,0.485460889794,0.626974895803,0.66477658234,0.514539110206,0.502326257633,0,true
RT-L4-S01-M1,RT,8,8,0.000205438702637,0.465876868003,0.72868503422,7.00515448311,0,2891724.28241,1,10.27027027,0.607589415528,0.933265484152,0.662838034312,0.398226228555,0.5,0.177231753417,0.650479790637,0.556217892798,0.66477658234,0.734564311331,0.542890375109,0.555830183193,0,true
RT-L4-S01-M1,RT,8,9,0.000205258668406,0.750593452906,0.728329996589,7.00720276509,0,2891499.86712,1,10.270270271,0.415673160803,0.854754289038,0.662838034312,0.340069787729,0.5,0.0347484733934,0.56833381797,0.472860327615,0.619220703693,0.644421828051,0.473102646118,0.461616749055,0,true
RT-L4-S01-M1,RT,8,10,-0.00040863978159,0.72866475224,0.728540882441,7.00720276509,0,2892406.46946,1,10.27027027,0.508723466124,0.854754289038,0.662838034312,0.531986042454,0.5,0.177231753417,0.639575457982,0.567849180963,0.683192788601,0.675438596491,0.556702529805,0.547106717069,0,true
RT-L4-S01-M1,RT,8,11,-0.00134611851846,0.995222375313,0.728278424043,7.00760363538,0,2891942.36521,1,10.27027027,0.38659494039,0.840215178831,0.662838034312,0.43312009305,0.5,0.177231753417,0.580692061646,0.494184355917,0.645391102065,0.629882717844,0.528351264903,0.5,0,true
RT-L4-S01-M1,RT,8,12,-0.00151888398147,0.995354537769,0.728325739891,7.01273924297,0,2892095.24537,1,10.270270271,0.40985751672,0.729717941262,0.662838034312,0.479645245711,0.5,0.0347484733934,0.570514684501,0.517446932248,0.624067073762,0.600804497431,0.47673742367,0.46336144228,0,true
RT-L4-S01-M1,RT,8,13,-0.00250422601585,0.999832456765,0.728385487111,7.00805087714,0,2892465.08274,1,10.27027027,0.43312009305,0.831491712707,0.662838034312,0.561064262867,0.5,0.177231753417,0.622128525734,0.552340796743,0.685131336629,0.642483280023,0.558156440826,0.533149171271,0,true
RT-L4-S01-M1,RT,8,14,4.94690000014e-05,0.180422254874,0.728456629605,7.00805087714,0,2892542.73074,1,10.27027027,0.462198313463,0.831491712707,0.662838034312,0.572695551032,0.5,0.177231753417,0.632305902879,0.565910632936,0.689008432684,0.652176020161,0.561064262867,0.541291072986,0,true
RT-L4-S01-M1,RT,8,15,-0.00194538220268,0.9913041066,0.72850276427,7.00690099827,0,2892219.75151,1,10.27027027,0.479645245711,0.866385577203,0.662838034312,0.526170398372,0.5,0.177231753417,0.633759813899,0.556217892798,0.685131336629,0.669622952409,0.558156440826,0.542454201803,0,true
